Delivery State,Averitt,Dohrn,Estes,FedEx,Saia,XPO,YRC
AL,87.975,,42.19,87.5,132.5,38.33333333,
AR,,,,,,,
AZ,,,247.16,,233.25,43.5,
CA,,,37.62269231,,150.5,68.09715596,
CO,,,68,,,,
CT,,,,45,,0,
DE,,,,,,,
FL,,,28.808,0,179.1128,14.85535714,
GA,174.30625,,73.15,107.4444444,201.8022222,35.125,
IA,,,,0,,,
ID,,,,,,,
IL,,119.1653061,,,,,
IN,,72.08333333,160,,,,
KS,,,175,,,,
KY,113.53,,,0,105.81,15,0
LA,,,,0,,82.926,
MA,,,53.892,73.5,,,
MD,,,99.585,12.85714286,,43.72722222,
ME,,,,204,,,
MI,,,59.55428571,,,,
MN,,14.16666667,,,,,
MO,,38.32857143,,0,,0,
MS,,,,0,,0,
MT,,,,,,,
NC,251.4166667,,33.11,204,172.5442857,26.45689655,
ND,,,,0,,0,
NE,,0,,,,,
NH,,,,,,,
NJ,,100,50.862,22.5,,0,
NM,,,,,,0,
NV,,,137.65,,,18.9,
NY,,,35,43.95,114.5,240.0981818,
OH,,,45.37307692,0,209.958,,
OK,,,,,,0,
OR,,,,,266.37,0,
PA,,105,205.5724138,45,107.5,6.212121212,0
RI,,,,,,,
SC,124.475,,,0,,74.237,
SD,,,,,,,
TN,175.95,,29.09666667,0,162.4423529,64.4725,
TX,,,49.02666667,94.75,251.6681818,38.50583333,
UT,,,,,,0,
VA,171.3333333,104.9863636,,0,,19.66,
VT,,,,,,,
WA,,,,,188.75,315.5033333,
WI,,80,,,,,
WV,,130,135,,,,
WY,,,,,,,
