Delivery State,Averitt,Dorhn,Estes,FedEx,Saia,XPO,YRC
AL,,,,,,,
AR,,,,,,,
AZ,,,,,,,
CA,,,2,,,1,
CO,,,1,,,,
CT,,,,,,,
DE,,,,,,,
FL,,,,,,,
GA,,,,,,,
IA,,,,,,,
ID,,,1,,,,
IL,,1,,,,1,
IN,,1,,,,,
KS,,,,,,,
KY,,,1,,,,
LA,,,,,,1,
MA,,,,,,,
MD,,1,,,,4,
ME,,,,,,,
MI,,,1,,,,
MN,,1,,,,,
MO,,,,,,,
MS,,,,,,,
MT,,,,,,,
NC,,,,,,,
ND,,,,,,,
NE,,,,,,,
NH,,,,,,,
NJ,,,,,,,
NM,,,,,,,
NV,,,,,,,
NY,,,,,,,
OH,,,,,,,
OK,,,,,,,
OR,,,,,,,
PA,,,,,,3,
RI,,,,,,,
SC,,,,,,,
SD,,,,,,,
TN,,,,,,,
TX,,,1,,,1,
UT,,,,,,,
VA,,,,,,1,
VT,,,,,,,
WA,,,,,,,
WI,,,,,,,
WV,,,,,,,
WY,,,,,,,
