State,Averitt,Dohrn,Estes,Fedex,Saia,XPO,YRC
AL,92.85714286,100,100,100,100,100,100
AR,100,100,100,100,100,100,100
AZ,100,100,100,100,75,100,100
CA,100,100,89.7810219,100,75,100,100
CO,100,100,100,100,33.33333333,50,100
CT,100,100,100,100,100,100,100
DE,100,100,100,100,100,100,100
FL,100,100,95.72649573,97.14285714,92.04545455,97.01492537,100
GA,89.33333333,100,90.56603774,96.07843137,85,90.90909091,100
IA,100,91.66666667,100,100,100,100,100
ID,100,100,82.35294118,100,0,100,100
IL,100,91.54334038,96.1038961,100,85.18518519,76.47058824,100
IN,100,86.95652174,100,100,100,100,100
KS,66.66666667,100,66.66666667,100,85.71428571,80,100
KY,68.96551724,100,97.10144928,100,80,100,100
LA,86.66666667,100,100,100,93.33333333,93.33333333,100
MA,100,100,77.27272727,80,100,100,100
MD,100,90.32258065,94.25287356,100,,97.82608696,100
ME,100,100,100,100,,100,100
MI,100,100,97.33009709,100,,100,100
MN,100,97.14285714,88.88888889,100,,100,100
MO,100,92.5795053,100,100,,100,100
MS,100,100,100,88.23529412,,100,100
MT,,,,,,,
NC,96.2962963,100,95.23809524,88.37209302,94.44444444,96.77419355,100
ND,100,100,91.66666667,100,,80,100
NE,100,100,100,100,,100,100
NH,100,100,100,100,,100,100
NJ,100,86.95652174,95.13888889,100,,93.75,100
NM,100,100,100,50,,100,100
NV,100,100,95.23809524,66.66666667,90.90909091,85.71428571,100
NY,100,100,90.3030303,97.22222222,100,100,100
OH,100,66.66666667,97.13656388,100,90,100,100
OK,100,100,83.33333333,88.88888889,87.5,69.23076923,100
OR,100,100,95.23809524,100,94.11764706,96.15384615,100
PA,100,98.8372093,95.22673031,100,100,100,100
RI,100,100,100,100,,100,100
SC,80.76923077,100,85.71428571,100,89.47368421,90.24390244,100
SD,100,100,100,100,,100,100
TN,91.89189189,100,98.55072464,100,81.48148148,94.11764706,100
TX,80,100,96.15384615,100,85.07462687,90.90909091,100
UT,100,100,90,100,,100,100
VA,90,98.98989899,100,75,0,91.66666667,100
VT,100,100,100,100,,100,100
WA,100,100,100,100,94.11764706,100,100
WI,100,96.49122807,77.77777778,100,100,100,100
WV,100,100,90,100,100,100,100
WY,,,,,,,
